time,x,y,z
35739,-0.19613299,-9.885103,0.02941995
35758,-0.24516624,-9.89491,-0.00980665
35776,-0.24516624,-10.042009,-0.00980665
35796,-0.2157463,-10.071429,-0.02941995
35820,-0.22555295,-9.9047165,-0.0196133
35841,-0.19613299,-10.100849,0.00980665
35856,-0.2353596,-10.316595,0.0
35877,-0.2353596,-10.169496,-0.0588399
35897,-0.2353596,-10.032203,-0.0588399
35918,-0.26477954,-10.140076,0.00980665
35941,-0.24516624,-9.973363,-0.0588399
35958,-0.18632634,-9.83607,-0.0392266
35978,-0.20593965,-9.963556,0.02941995
35998,-0.18632634,-9.845877,0.0196133
36020,-0.22555295,-9.77723,0.02941995
36041,-0.2353596,-9.914523,0.0588399
36058,-0.24516624,-9.992976,-0.0784532
36078,-0.26477954,-9.845877,-0.06864655
36099,-0.2157463,-9.92433,0.02941995
36120,-0.16671304,-10.042009,0.06864655
36142,-0.2157463,-10.002783,0.0196133
36165,-0.22555295,-9.914523,-0.0588399
36179,-0.24516624,-10.012589,0.0
36203,-0.22555295,-10.051816,-0.0392266
36225,-0.2353596,-9.992976,0.0196133
36243,-0.18632634,-10.032203,0.049033247
36260,-0.2353596,-10.159689,0.049033247
36280,-0.20593965,-10.032203,0.02941995
36300,-0.18632634,-9.95375,0.00980665
36320,-0.2157463,-10.081236,0.0196133
36342,-0.20593965,-10.061623,0.06864655
36360,-0.2353596,-9.992976,0.02941995
36380,-0.2353596,-10.130269,0.0196133
36403,-0.20593965,-10.238142,-0.02941995
36426,-0.2353596,-10.100849,0.0196133
36442,-0.22555295,-9.963556,-0.0196133
36461,-0.22555295,-9.92433,0.00980665
36481,-0.17651969,-9.973363,0.0784532
36501,-0.20593965,-9.885103,0.0
36522,-0.22555295,-9.973363,0.0392266
36543,-0.2549729,-9.992976,-0.00980665
36561,-0.2157463,-9.95375,-0.00980665
36581,-0.22555295,-9.963556,-0.02941995
36605,-0.2745862,-10.140076,-0.0196133
36625,-0.20593965,-10.042009,0.0
36644,-0.20593965,-9.992976,0.0
36662,-0.2157463,-9.963556,-0.0196133
36682,-0.24516624,-10.081236,-0.0588399
36704,-0.26477954,-10.081236,-0.088259846
36725,-0.24516624,-10.022396,-0.0392266
36743,-0.26477954,-9.95375,0.00980665
36763,-0.2353596,-10.002783,0.06864655
36783,-0.20593965,-10.022396,0.02941995
36805,-0.20593965,-10.051816,-0.02941995
36827,-0.2353596,-9.973363,-0.0588399
36843,-0.19613299,-9.98317,-0.088259846
36864,-0.16671304,-9.934136,0.00980665
36884,-0.2353596,-10.002783,0.0784532
36905,-0.26477954,-9.98317,0.0588399
36927,-0.24516624,-9.973363,-0.00980665
36945,-0.26477954,-9.973363,-0.0588399
36969,-0.22555295,-9.943943,-0.02941995
36986,-0.20593965,-9.9047165,-0.0392266
37009,-0.17651969,-9.934136,0.02941995
37028,-0.20593965,-9.875297,0.06864655
37046,-0.2353596,-9.89491,0.0
37065,-0.2549729,-9.934136,0.0196133
37085,-0.2353596,-10.120462,-0.0196133
37106,-0.2353596,-10.179302,0.0
37127,-0.2353596,-10.149882,-0.0392266
37145,-0.22555295,-10.061623,0.0196133
37166,-0.2157463,-9.963556,-0.00980665
37186,-0.20593965,-10.032203,0.0
37206,-0.18632634,-10.002783,-0.049033247
37234,-0.19613299,-9.89491,-0.0392266
37247,-0.2157463,-9.95375,-0.0196133
37266,-0.2353596,-10.032203,0.0196133
37287,-0.2157463,-9.963556,-0.00980665
37307,-0.24516624,-9.973363,0.06864655
